"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"GO:0021955","central nervous system neuron axonogenesis",39,-0.757409261409589,-2.64265099998555,1e-10,2.591e-08,1.71915235886894e-08,2113,"tags=72%, list=17%, signal=59%","Pten/Spast/Bhlhe22/B4galt5/Ndel1/Pafah1b1/Ephb3/Tsku/Wdr47/Prdm8/Mycbp2/Spg11/Dclk1/Cdh11/Nin/Chrnb2/Prkca/Dcx/Plxna4/Slit2/Sptbn4/Ephb1/Arhgap35/Epha4/Dcc/Szt2/Nfib/Zeb2",NA,"suppressed"
"GO:0021952","central nervous system projection neuron axonogenesis",28,-0.805842847502498,-2.57978849887828,1e-10,2.591e-08,1.71915235886894e-08,1823,"tags=79%, list=15%, signal=67%","Bhlhe22/Pafah1b1/Ephb3/Tsku/Wdr47/Prdm8/Mycbp2/Spg11/Dclk1/Cdh11/Nin/Chrnb2/Dcx/Plxna4/Slit2/Sptbn4/Ephb1/Epha4/Dcc/Szt2/Nfib/Zeb2",NA,"suppressed"
"GO:0021954","central nervous system neuron development",89,-0.627740961405636,-2.56584572086128,1e-10,2.591e-08,1.71915235886894e-08,2001,"tags=52%, list=17%, signal=43%","Spast/Gabrb1/Crkl/Bhlhe22/Rac1/B4galt5/Drd2/Ndel1/Pafah1b1/Sall3/Ephb3/Zmiz1/Tsku/Wdr47/Prdm8/Mycbp2/Spg11/Dclk1/Cdh11/Nin/L1cam/Chrnb2/Prkca/Dcx/Plxna4/Plxna1/Slit2/Sptbn4/Ephb1/Rapgef2/Arhgap35/Ntrk2/Nova2/Atp7a/Map2/Epha4/Dcc/Nrp2/Taok1/Szt2/Robo2/Nfib/Zeb2/Robo1/Nrp1/Cntn2",NA,"suppressed"
"GO:0042274","ribosomal small subunit biogenesis",109,0.534778668976698,2.48001568924759,1e-10,2.591e-08,1.71915235886894e-08,2406,"tags=51%, list=20%, signal=42%","Rps27a/Rps4x/Rps23/Npm1/Exosc10/Rps25/Rps28/Rps8/Nol7/Rps24/Ercc2/Rps3a/Rps21-ps1/Rps12/Ngdn/Utp25/Nop58/Riok2/Krr1/Mettl17/Kri1/Tsr1/Rps27/Rps12l1/Bysl/Rps14/Rbfa/Mphosph10/Ltv1/Mcat/Rcc1l/Gtf2h5/Utp18/Rps17/Rps19/Wdr46/Nol11/Xrcc5/Rps19bp1/Slx9/Nsun4/Rps16/Rrp7a/Rpsa/Rps5/Dnttip2/Rps9/Fau/Snu13/Rps11/Rps10/Aatf/Bms1/Riok3/Rps21/Rps15a",NA,"activated"
"GO:0001764","neuron migration",178,-0.546650158350448,-2.47185833776674,1e-10,2.591e-08,1.71915235886894e-08,2251,"tags=46%, list=19%, signal=38%","Srf/Ulk4/Top2b/Large1/Scrt1/Cck/Pcm1/Sh3rf1/Pex2/Aspm/Dab2ip/Crkl/Wasf2/Rac1/Fyn/Astn2/Septin4/Drd2/Fkrp/Celsr2/Ddit4/Fat1/Ntrk3/Ndel1/Pafah1b1/Ctnnb1/Reln/Lrp12/Sema6a/Abi2/Nrg1/Nexmif/Cep85l/Zmiz1/Celsr3/Nav1/Tbc1d24/Auts2/Psen1/Dclk1/Mdga2/Cxcr4/Srgap2/Adgrl3/Itga3/Satb2/Fat3/Usp9x/Barhl2/Nr2f2/Trim46/Unc5d/Plxnb2/Flrt2/Neo1/Dcx/Plxna1/Zfp609/Met/Myh10/Kif26a/Pcnt/Mark2/Rapgef2/Gsk3b/Mef2c/Ntrk2/Mdga1/Alkbh1/Astn1/Arhgap32/Dcc/Nipbl/Fzd3/Ptprz1/Lrig2/Nrp2/Chl1/Erbb4/Zswim6/Nrp1/Cntn2",NA,"suppressed"
"GO:0021953","central nervous system neuron differentiation",191,-0.538421796055398,-2.44520357174861,1e-10,2.591e-08,1.71915235886894e-08,1833,"tags=39%, list=15%, signal=33%","Crkl/Bhlhe22/Rac1/B4galt5/Elavl4/Drd2/Ndel1/Cln8/Pafah1b1/Ctnnb1/Sall3/Dync2h1/Abt1/Ephb3/Zmiz1/Tsku/Wdr47/Prdm8/Tbr1/Mycbp2/Spg11/Psen1/Dclk1/Shh/Mdga2/Gigyf2/Herc1/Sox5/Cdh11/Nin/Chd5/Lmo4/L1cam/Sin3a/Unc5d/Ptch1/Chrnb2/Prkca/Dcx/Plxna4/Plxna1/Nfix/Slit2/Met/Ophn1/Sptbn4/Ephb1/Rapgef2/Arhgap35/Ntrk2/Kcnq2/Mdga1/Hes5/Nova2/Atp7a/Map2/Epha4/Atp2b2/Dcc/Nrxn1/Nrp2/Taok1/Szt2/Dicer1/Robo2/Erbb4/Zswim6/Rorb/Nfib/Lonrf2/Zeb2/Robo1/Nrp1/Cntn2",NA,"suppressed"
"GO:0007411","axon guidance",208,-0.514354366610708,-2.36676046351238,1e-10,2.591e-08,1.71915235886894e-08,1716,"tags=38%, list=14%, signal=33%","Tgfb2/Kif5c/Wnt7b/Kalrn/Epha10/Reln/Lrp1/Boc/Tenm3/Cyfip2/Sema6a/Ephb3/Cntn4/Celsr3/Ablim1/Ank3/Kif21a/Tbr1/Mycbp2/Lhx9/Shh/Cxcr4/Megf8/Nell2/Lamc1/Ncam1/Tenm4/Unc5c/Sema4c/Slit3/Lmo4/L1cam/Trio/Unc5d/Ptch1/Nfasc/Dscaml1/Sema4g/Flrt2/Neo1/Megf9/Vangl2/Plxna4/Tenm2/Dscam/Slit2/Myh10/Sema5a/Diaph1/Nr4a3/Epha7/Enah/Cntn1/Epha5/Ephb1/Hspg2/Arhgap35/Mef2c/Sema4b/Ephb2/Nova2/Nectin1/Epha4/Dcc/Epha8/Fzd3/Nrp2/Chl1/Ark2c/Robo2/Slit1/Nfib/Bmpr2/Ptprj/Klf7/Robo1/Nrp1/Cntn2",NA,"suppressed"
"GO:0097485","neuron projection guidance",210,-0.514726290518534,-2.35255555877489,1e-10,2.591e-08,1.71915235886894e-08,1716,"tags=38%, list=14%, signal=33%","Tgfb2/Kif5c/Wnt7b/Kalrn/Epha10/Reln/Lrp1/Boc/Tenm3/Cyfip2/Sema6a/Ephb3/Cntn4/Celsr3/Ablim1/Ank3/Kif21a/Tbr1/Mycbp2/Lhx9/Shh/Cxcr4/Megf8/Nell2/Lamc1/Ncam1/Tenm4/Unc5c/Sema4c/Slit3/Lmo4/L1cam/Trio/Unc5d/Ptch1/Nfasc/Dscaml1/Sema4g/Flrt2/Neo1/Megf9/Vangl2/Plxna4/Plxna1/Tenm2/Dscam/Slit2/Myh10/Sema5a/Diaph1/Nr4a3/Epha7/Enah/Cntn1/Epha5/Ephb1/Hspg2/Arhgap35/Mef2c/Sema4b/Ephb2/Nova2/Nectin1/Epha4/Dcc/Epha8/Fzd3/Nrp2/Chl1/Ark2c/Robo2/Slit1/Nfib/Bmpr2/Ptprj/Klf7/Robo1/Nrp1/Cntn2",NA,"suppressed"
"GO:0050919","negative chemotaxis",44,-0.640224461836568,-2.27853667351659,5.43975088282715e-07,6.7116164463834e-05,4.45321931517699e-05,899,"tags=32%, list=7%, signal=30%","Unc5c/Sema4c/Slit3/Sema4g/Flrt2/Plxna4/Slit2/Sema5a/Epha7/Sema4b/Nrp2/Robo2/Slit1/Robo1",0.659444398037935,"suppressed"
"GO:0016441","post-transcriptional gene silencing",52,-0.619071950553633,-2.27405436373701,1.76948046376566e-07,2.69689640095107e-05,1.78941559603249e-05,2483,"tags=52%, list=21%, signal=41%","Eif4enif1/Clp1/Eif4g1/Dgcr8/Bcdin3d/Elavl1/Fxr1/Pum2/Focad/Ago2/Gigyf2/Ago3/Cnot6/Celf2/Tnrc6a/Ddx6/Ago4/Zswim8/Adar/Tnrc6b/Dhx9/Pum1/Mecp2/Dicer1/Cnot1/Tnrc6c/Helz",0.690132458796796,"suppressed"
