"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"rno04360","Axon guidance",165,0.48713980475979,2.15574410914169,1.19850460995913e-09,4.08690071996063e-07,3.64868126394956e-07,1692,"tags=33%, list=14%, signal=29%","Robo1/Bmpr2/Slit1/Ephb1/Fzd3/Nrp1/Robo2/Plxnb2/Ssh2/Dcc/Rac1/Ephb2/Plxna4/Efnb1/Slit2/Gsk3b/Sema5a/Plxna2/Slit3/Srgap2/Srgap1/Pak3/Met/Plxnb1/Prkca/Plxna1/Enah/Epha4/Sema4c/Dpysl2/Srgap3/Arhgef12/Unc5c/Cxcr4/Ssh1/Dpysl5/Unc5d/Epha5/Pik3r3/Rgma/Neo1/Epha6/Ephb3/Rock2/Epha7/Rras/Abl1/Plxnc1/L1cam/Sema6a/Epha8/Sema4a/Efna3/Ptch1",0.788186810800237,"activated"
"rno00071","Fatty acid degradation",34,-0.604964301405541,-2.12975268958658,2.75308749356312e-05,0.00234700708826256,0.00209534837669923,3154,"tags=56%, list=26%, signal=41%","Eci3/Aldh1b1/Hadh/Acsl4/Acadl/Eci1/Cyp2u1/Cpt2/Cpt1c/Acads/Acadvl/Hadha/Hadhb/Gcdh/Acadsb/Acsl1/Aldh7a1/Acsl6/Cpt1b",0.575610261071129,"suppressed"
"rno04517","IgSF CAM signaling",230,0.424929058661996,1.96118188643457,1.90427123960915e-08,3.2467824635336e-06,2.89864500132246e-06,2414,"tags=37%, list=20%, signal=31%","Cntn2/Afdn/Robo1/Slit1/Nrp1/Map2/Robo2/Dcc/Ptprf/Rac1/Nrp2/Nfasc/Kcnq3/Ank3/Plxna4/Slit2/Ntrk3/Rims1/Trio/Gsk3b/Sptbn4/Plxna2/Slit3/Erc1/Ptprz1/Srgap2/Sorbs1/Srgap1/Pak3/Sptbn2/Kcna4/Kcnq2/Cxadr/Prkca/Plxna1/Nlgn3/Myh10/Ank2/Srgap3/Ctnnb1/Actn4/Lrrc4b/Unc5c/Kirrel1/Ncam1/Unc5d/Sptbn1/Pik3r3/Nectin1/Kcna2/Cadm3/Magi2/Scn8a/Slitrk5/Nphs1/Nlgn2/Epb41l3/Abl1/Bcar1/Actn1/Cdh2/L1cam/Kcna6/Slitrk1/Map2k1/Mylk/Pard6b/Tjp1/Ptprs/Caskin2/Dok1/Nck1/Slitrk3/Mtss1/Sptan1/Ncam2/Prkcb/Epb41l1/Pik3cb/Dynll2/Kirrel3/Lrrtm4/Slitrk2/Fyn/Mpdz/Cd48",0.73376198835648,"activated"
"rno04512","ECM-receptor interaction",66,0.476681881657931,1.84642812940736,0.000377589207481889,0.0165379686083349,0.0147646787479581,2366,"tags=38%, list=20%, signal=31%","Tnr/Col1a2/Fras1/Hspg2/Col1a1/Lama5/Sv2b/Itga6/Reln/Itgb8/Fn1/Col4a2/Tnc/Agrn/Lamc1/Itgav/Sv2a/Itga1/Gp5/Dag1/Sdc1/Lama4/Itgb5/Col6a3/Lama1",0.49849310876659,"activated"
"rno04972","Pancreatic secretion",55,0.490570806396555,1.83206379498607,0.00038798753333337,0.0165379686083349,0.0147646787479581,2833,"tags=44%, list=23%, signal=34%","Itpr1/Kcnma1/Rac1/Plcb1/Atp2b2/Atp2b1/Adcy1/Ryr2/Prkca/Atp2b3/Atp2a2/Atp1a3/Itpr2/Cck/Rab3d/Atp1b2/Gnas/Prkcb/Atp1a1/Adcy3/Adcy6/Plcb4/Ctrl/Rab27b",0.49849310876659,"activated"
"rno03320","PPAR signaling pathway",46,-0.475557483510208,-1.80237080653366,0.00185900772916498,0.046001843414892,0.041069278574664,2596,"tags=39%, list=21%, signal=31%","Acsl4/Acadl/Pck2/Cpt2/Cpt1c/Ilk/Rxrg/Fabp5/Hmgcs1/Ubc/Gk/Acsl1/Me3/Acsl6/Lpl/Rxrb/Fabp7/Cpt1b",0.45505986738723,"suppressed"
"rno04970","Salivary secretion",49,0.49326485223764,1.77856388453636,0.00142451330497454,0.0404799197496931,0.0361394452367098,2310,"tags=39%, list=19%, signal=32%","Ryr3/Nos1/Itpr1/Kcnma1/Plcb1/Atp2b2/Atp2b1/Adcy1/Prkca/Atp2b3/Atp1a3/Itpr2/Adra1b/Gucy1a2/Atp1b2/Gnas/Prkcb/Atp1a1/Adcy3",0.45505986738723,"activated"
"rno04514","Cell adhesion molecule (CAM) interaction",79,0.44046024725951,1.76238516498372,0.000594999131761607,0.0225438559923009,0.0201265826141912,2157,"tags=37%, list=18%, signal=30%","Cntn2/Glg1/Nrxn1/Ptprf/Nfasc/Cxadr/Itga6/Cdh4/Nlgn3/Nrxn3/Lrrc4b/Nrxn2/Ncam1/Nectin1/Itgb8/Neo1/Cadm3/Vcan/Slitrk5/Nlgn2/Cdh2/L1cam/Slitrk1/Itgav/Ptprs/Slitrk3/Sdc1/Ncam2/Ntng2",0.477270815362862,"activated"
"rno04927","Cortisol synthesis and secretion",45,0.486055494810098,1.74928972467804,0.00128470922387127,0.0404799197496931,0.0361394452367098,2310,"tags=42%, list=19%, signal=34%","Itpr1/Plcb1/Sp1/Adcy1/Cacna1d/Creb3l2/Kcna4/Cacna1c/Cacna1i/Ldlr/Creb1/Cacna1h/Itpr2/Nceh1/Orai1/Atf2/Gnas/Creb3l1/Adcy3",0.45505986738723,"activated"
"rno04519","Cadherin signaling",231,0.378846587320947,1.74844532404943,5.73256383186664e-06,0.000651601422222175,0.00058173321637425,1920,"tags=26%, list=16%, signal=23%","Afdn/Pcdh17/Pcdh1/Fzd3/Pcdh19/Pcdhb16l/Igf1r/Lats1/Rac1/Taok1/Arhgap35/Celsr1/Prickle2/Gsk3b/Fat4/Apc2/Pcdh10/Lrp6/Apc/Dchs1/Met/Jup/Pcdh9/Vangl2/Fat3/Enah/Cdh4/Celsr2/Crebbp/Ywhag/Ctnnb1/Des/Amotl1/Actn4/Celsr3/Fat1/Ctnnd2/Gabrb3/Pcdhb17/Rere/Krt1/Ctnnd1/Rock2/Tead4/Rras/Gabra1/Psen1/Actn1/Fzd7/Pcdhb10/Cdh2/Abi2/Gabrg3/Cdh22/Map2k1/Mob1a/Gabrb2/Mras/Ywhah/Tjp1/Psenen",0.610526878385931,"activated"
"rno05146","Amoebiasis",60,0.458156429812942,1.74319567951345,0.00140407417274467,0.0404799197496931,0.0361394452367098,2973,"tags=45%, list=25%, signal=34%","Col1a2/Plcb1/Col1a1/Adcy1/Lama5/Prkca/Actn4/Pik3r3/Fn1/Col4a2/Actn1/Lamc1/Il1r1/Arg2/Rela/Gnas/Lama4/Prkcb/Pik3cb/Rab5a/Lama1/Hspb1/Tgfb2/Plcb4/Col4a1/Lamb1/Pik3ca",0.45505986738723,"activated"
"rno04934","Cushing syndrome",113,0.411890677395566,1.72919368579921,0.000287607036516879,0.016345666575376,0.0145929963723012,2902,"tags=37%, list=24%, signal=29%","Itpr1/Fzd3/Kmt2a/Plcb1/Sp1/Gsk3b/Apc2/Adcy1/Apc/Wdr5b/Cacna1d/Creb3l2/Kcna4/Cacna1c/Ctnnb1/Cacna1i/Ldlr/Creb1/Cacna1h/Itpr2/Nceh1/Fzd7/Ash2l/Rb1/Map2k1/Usp8/Orai1/Braf/Atf2/Gnas/Creb3l1/Adcy3/Fzd2/Ccne1/Camk2d/Men1/Camk2g/Adcy6/Plcb4/Rbbp5/Star/Armc5",0.49849310876659,"activated"
"rno04020","Calcium signaling pathway",171,0.386569898168426,1.71950355092729,0.000124218257279149,0.00847168514643794,0.00756330554273549,2510,"tags=33%, list=21%, signal=26%","Ryr3/Nos1/Itpr1/Erbb4/Slc8a1/Ntrk2/Plcb1/Grin2b/Atp2b2/Ntrk3/Atp2b1/Adcy1/Ryr2/Cacna1b/Cacna1e/Camk4/Cacna1d/Met/Prkca/Atp2b3/Cacna1c/Grm5/Cxcr4/Phka1/Cacna1i/Atp2a2/P2rx3/Cacna1h/Itpr2/Htr5b/Adra1b/Grin2a/Plce1/Ptger3/Cacna1a/Nfatc1/Sphk2/Mylk/Fgfr2/Orai1/Ret/Itpkc/Nfatc3/Itpkb/Chrna7/Gnas/Htr2c/Prkcb/Pdgfb/Orai3/Adcy3/Stim2/Camk2d/Grm1/Erbb3/Pde1a",0.518848077743792,"activated"
"rno04659","Th17 cell differentiation",61,-0.427352532461166,-1.69014916490474,0.00319705082223043,0.0676328639155286,0.0603809048236965,2098,"tags=33%, list=17%, signal=27%","Ikbkg/Ppp3cb/Tgfbr1/Rxrg/RT1-DOb/Hsp90aa1/Stat6/Ppp3cc/Il23a/Hif1a/Lat/Stat5b/Smad3/Rxrb/Plcg1/Chuk/Tyk2/Mapk11/Jun/Fos",0.431707695803346,"suppressed"
"rno00410","beta-Alanine metabolism",19,-0.565325838761543,-1.68839012062033,0.00905230288630616,0.105527868026033,0.0942126029660047,4002,"tags=63%, list=33%, signal=42%","Hibch/Cndp1/Smox/Gad2/Aldh1b1/Abat/Gad1/Acads/Hadha/Aldh7a1/Cndp2/Csad",0.380730400722792,"suppressed"
"rno04730","Long-term depression",50,0.465991940867203,1.68705533672358,0.00337172635356008,0.0676328639155286,0.0603809048236965,3072,"tags=48%, list=25%, signal=36%","Nos1/Itpr1/Igf1r/Plcb1/Prkca/Gnao1/Araf/Itpr2/Gucy1a2/Cacna1a/Map2k1/Braf/Ppp2r1a/Gnas/Prkcb/Pla2g4e/Grm1/Lyn/Gria1/Hras/Plcb4/Gria3/Gnai1/Igf1",0.431707695803346,"activated"
